,MeanEpisodeReward
0,0.0
1,0.008547008547008548
2,0.0
3,0.0
4,0.008333333333333333
5,0.008264462809917356
6,0.0
7,0.0
8,0.007246376811594203
9,0.0
10,0.0
11,0.0
12,0.0
13,0.007936507936507936
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.008333333333333333
25,0.0
26,0.0
27,0.0
28,0.009259259259259259
29,0.008264462809917356
30,0.009900990099009901
31,0.008928571428571428
32,0.01818181818181818
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.008771929824561403
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.01
50,0.0
51,0.0
52,0.0196078431372549
53,0.009708737864077669
54,0.0
55,0.0
56,0.0
57,0.0
58,0.01
59,0.018518518518518517
60,0.008547008547008548
61,0.01
62,0.0
63,0.0
64,0.0
65,0.01
66,0.01
67,0.0
68,0.01
69,0.01
70,0.0
71,0.009615384615384616
72,0.02
73,0.03
74,0.01
75,0.01
76,0.01
77,0.01
78,0.0
79,0.03
80,0.0
81,0.02
82,0.0
83,0.02
84,0.01
85,0.0
86,0.02
87,0.009615384615384616
88,0.03
89,0.06
90,0.03
91,0.03
92,0.01
93,0.02
94,0.05
95,0.03
96,0.0
97,0.01
98,0.01
99,0.04
100,0.02
101,0.01
102,0.03
103,0.03
104,0.02
105,0.01
106,0.01
107,0.06
108,0.06
109,0.06
110,0.06
111,0.02
112,0.02
113,0.01
114,0.01
115,0.02
116,0.07
117,0.05
118,0.08
119,0.05
120,0.04
121,0.08
122,0.05
123,0.08
124,0.12
125,0.07
126,0.1
127,0.16
128,0.12
129,0.15
130,0.1
131,0.06
132,0.1
133,0.08
134,0.12
135,0.1
136,0.1
137,0.21
138,0.18
139,0.08
140,0.08
141,0.12
142,0.18
143,0.19
144,0.09
145,0.15
146,0.19
147,0.15
148,0.08
149,0.14
150,0.31
151,0.34
152,0.24
153,0.18
154,0.11
155,0.08
156,0.2
157,0.25
158,0.22
159,0.21
160,0.22
161,0.27
162,0.41
163,0.28
164,0.26
165,0.34
166,0.4
167,0.36
168,0.25
169,0.26
170,0.24
171,0.23
172,0.28
173,0.33
174,0.35
175,0.32
176,0.33
177,0.38
178,0.37
179,0.31
180,0.36
181,0.45
182,0.5
183,0.44
184,0.38
185,0.46
186,0.49
187,0.49
188,0.49
189,0.49
190,0.46
191,0.59
192,0.74
193,0.76
194,0.74
195,0.73
196,0.72
197,0.77
198,0.81
199,0.76
