,MeanEpisodeReward
0,0.0
1,0.0
2,0.0
3,0.01702127659574468
4,0.00392156862745098
5,0.011583011583011582
6,0.011152416356877323
7,0.007905138339920948
8,0.029197080291970802
9,0.043668122270742356
10,0.02564102564102564
11,0.06493506493506493
12,0.039647577092511016
13,0.08530805687203792
14,0.1476510067114094
15,0.1657142857142857
16,0.2138364779874214
17,0.22580645161290322
18,0.2619047619047619
19,0.2222222222222222
20,0.3333333333333333
21,0.2809917355371901
22,0.3464566929133858
23,0.304
24,0.4
25,0.4112903225806452
26,0.45161290322580644
27,0.4094488188976378
28,0.3865546218487395
29,0.4126984126984127
30,0.375
31,0.375
32,0.45
33,0.45217391304347826
34,0.53
35,0.5490196078431373
36,0.6
37,0.6
38,0.59
39,0.59
40,0.69
41,0.6274509803921569
42,0.57
43,0.55
44,0.625
45,0.5929203539823009
46,0.61
47,0.69
48,0.6138613861386139
49,0.71
50,0.73
51,0.71
52,0.72
53,0.75
54,0.65
55,0.62
56,0.67
57,0.69
58,0.72
59,0.63
60,0.66
61,0.64
62,0.73
63,0.68
64,0.72
65,0.8
66,0.54
67,0.62
68,0.6
69,0.73
70,0.65
71,0.72
72,0.7
73,0.72
74,0.77
75,0.72
76,0.4
77,0.64
78,0.79
79,0.69
80,0.67
81,0.73
82,0.77
83,0.7
84,0.7
85,0.78
86,0.73
87,0.72
88,0.76
89,0.7
90,0.73
91,0.81
92,0.79
93,0.75
94,0.76
95,0.77
96,0.73
97,0.72
98,0.78
99,0.71
100,0.72
101,0.79
102,0.75
103,0.72
104,0.84
105,0.87
106,0.53
107,0.43
108,0.53
109,0.58
110,0.54
111,0.54
112,0.65
113,0.72
114,0.73
115,0.8
116,0.72
117,0.7029702970297029
118,0.77
119,0.79
120,0.65
121,0.66
122,0.69
123,0.76
124,0.69
125,0.72
126,0.7
127,0.64
128,0.7115384615384616
129,0.5
130,0.57
131,0.57
132,0.75
133,0.696078431372549
134,0.59
135,0.73
136,0.72
137,0.75
138,0.73
139,0.72
140,0.76
141,0.71
142,0.79
143,0.66
144,0.71
145,0.79
146,0.68
147,0.75
148,0.79
149,0.8
150,0.78
151,0.75
152,0.74
153,0.83
154,0.75
155,0.73
156,0.51
157,0.54
158,0.65
159,0.56
160,0.57
161,0.69
162,0.61
163,0.6018518518518519
164,0.5
165,0.44
166,0.54
167,0.69
168,0.74
169,0.67
170,0.78
171,0.71
172,0.71
173,0.77
174,0.63
175,0.63
176,0.75
177,0.88
178,0.68
179,0.68
180,0.7
181,0.7
182,0.37
183,0.45
184,0.59
185,0.64
186,0.71
187,0.7
188,0.74
189,0.65
190,0.66
191,0.67
192,0.76
193,0.38
194,0.35
195,0.57
196,0.7
197,0.63
198,0.71
199,0.68
